effect_id,master_id,predictor,outcome,time,effect_measure,estimate,ci_low,ci_high,p_value,studies_k,participants_n,events,model,heterogeneity,threshold,direction,adjusted,source_type,pdf,page_or_table,internal_discrepancy,extraction_provenance,analysis_cell,evidence_level,umbrella_role,pool_across_reviews,dependency_note,estimate_num,ci_low_num,ci_high_num,studies_k_num,participants_n_num,effect_family,display_estimate,display_ci_low,display_ci_high,null_value
FE-0021,FT-007,iNPH treatment (mostly shunt),Depression score change,Post-treatment; varied,SMD,-0.3,-0.62,0.01,NR,NR,NR,NR,Random-effects,I²=73.9%,,Negative=fewer depressive symptoms,NR,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 1,M1 pp.37–47; treatment meta-analysis,NO,CONSENSUS_3_REVIEWERS,NEUROPSYCHIATRIC_OUTCOMES,REVIEW_LEVEL_OR_SINGLE_STUDY_SUMMARY,SUPPORTING_CONCORDANCE_ONLY,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,-0.3,-0.62,0.01,,,DIFFERENCE,-0.3,-0.62,0.01,0.0
FE-0022,FT-010,Lumbar infusion test—Rout,Shunt response,3–12 months,Sensitivity,0.769,0.706,0.825,NR,5,Study N 17–127,NR,Pooled/Bayesian meta-analysis,NR,Rout >12 mmHg/mL/min,Higher sensitivity supports rule-in; not rule-out,NR,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 3,M3 pp.172–180; Table 3,NO,CONSENSUS_3_REVIEWERS,ROUT_THRESHOLDS,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.769,0.706,0.8250000000000001,5.0,17.0,PROBABILITY,0.769,0.706,0.8250000000000001,
FE-0023,FT-010,Lumbar infusion test—Rout,Shunt response,3–12 months,Specificity,0.34,0.212,0.488,NR,5,Study N 17–127,NR,Pooled/Bayesian meta-analysis,NR,Rout >12 mmHg/mL/min,Higher threshold increases specificity,NR,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 3,M3 pp.172–180; Table 3,NO,CONSENSUS_3_REVIEWERS,ROUT_THRESHOLDS,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.3399999999999999,0.212,0.488,5.0,17.0,PROBABILITY,0.3399999999999999,0.212,0.488,
FE-0024,FT-010,Lumbar infusion test—Rout,Shunt nonresponse,3–12 months,NPV at 65% response prevalence,0.262,0.16,0.385,NR,5,NR,NR,Pooled/Bayesian meta-analysis,NR,Rout >12 mmHg/mL/min,LOW; negative test does not exclude response,NR,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 3,M3 pp.172–180; Table 3,NO,CONSENSUS_3_REVIEWERS,ROUT_THRESHOLDS,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.262,0.16,0.385,5.0,,PROBABILITY,0.262,0.16,0.385,
FE-0025,FT-010,Lumbar infusion test—Rout,Shunt response,3–12 months,Sensitivity,0.816,0.75,0.871,NR,5,Study N 17–127,NR,Pooled/Bayesian meta-analysis,NR,Rout >14 mmHg/mL/min,Higher sensitivity supports rule-in; not rule-out,NR,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 3,M3 pp.172–180; Table 3,NO,CONSENSUS_3_REVIEWERS,ROUT_THRESHOLDS,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.8160000000000001,0.75,0.8710000000000001,5.0,17.0,PROBABILITY,0.8160000000000001,0.75,0.8710000000000001,
FE-0026,FT-010,Lumbar infusion test—Rout,Shunt response,3–12 months,Specificity,0.372,0.23,0.533,NR,5,Study N 17–127,NR,Pooled/Bayesian meta-analysis,NR,Rout >14 mmHg/mL/min,Higher threshold increases specificity,NR,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 3,M3 pp.172–180; Table 3,NO,CONSENSUS_3_REVIEWERS,ROUT_THRESHOLDS,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.372,0.23,0.533,5.0,17.0,PROBABILITY,0.372,0.23,0.533,
FE-0027,FT-010,Lumbar infusion test—Rout,Shunt nonresponse,3–12 months,NPV at 65% response prevalence,0.333,0.204,0.484,NR,5,NR,NR,Pooled/Bayesian meta-analysis,NR,Rout >14 mmHg/mL/min,LOW; negative test does not exclude response,NR,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 3,M3 pp.172–180; Table 3,NO,CONSENSUS_3_REVIEWERS,ROUT_THRESHOLDS,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.3329999999999999,0.204,0.484,5.0,,PROBABILITY,0.3329999999999999,0.204,0.484,
FE-0028,FT-010,Lumbar infusion test—Rout,Shunt response,3–12 months,Sensitivity,0.366,0.318,0.415,NR,5,Study N 17–127,NR,Pooled/Bayesian meta-analysis,NR,Rout >18 mmHg/mL/min,Higher sensitivity supports rule-in; not rule-out,NR,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 3,M3 pp.172–180; Table 3,NO,CONSENSUS_3_REVIEWERS,ROUT_THRESHOLDS,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.366,0.318,0.415,5.0,17.0,PROBABILITY,0.366,0.318,0.415,
FE-0029,FT-010,Lumbar infusion test—Rout,Shunt response,3–12 months,Specificity,0.78,0.686,0.857,NR,5,Study N 17–127,NR,Pooled/Bayesian meta-analysis,NR,Rout >18 mmHg/mL/min,Higher threshold increases specificity,NR,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 3,M3 pp.172–180; Table 3,NO,CONSENSUS_3_REVIEWERS,ROUT_THRESHOLDS,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.7799999999999999,0.6859999999999999,0.8570000000000001,5.0,17.0,PROBABILITY,0.7799999999999999,0.6859999999999999,0.8570000000000001,
FE-0030,FT-010,Lumbar infusion test—Rout,Shunt nonresponse,3–12 months,NPV at 65% response prevalence,0.234,0.19,0.283,NR,5,NR,NR,Pooled/Bayesian meta-analysis,NR,Rout >18 mmHg/mL/min,LOW; negative test does not exclude response,NR,SYSTEMATIC_REVIEW_COMPONENT,MESCLADOS 3,M3 pp.172–180; Table 3,NO,CONSENSUS_3_REVIEWERS,ROUT_THRESHOLDS,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.234,0.19,0.283,5.0,,PROBABILITY,0.234,0.19,0.283,
FE-0031,FT-012,CSF tap test,Post-shunt clinical response,Varied,Sensitivity,0.641,0.492,0.766,NR,9,700,NR,Bivariate random-effects DTA,I²=81.3%,Study-specific,Diagnostic accuracy,NR,SYSTEMATIC_REVIEW_COMPONENT,OFFICIAL_FRONTIERS_ACCEPTED_ABSTRACT,Official accepted abstract—Results,NO—ACCEPTED_VERSION_SUPERSEDES_PREPRINT_VALUES,ACCEPTED_PEER_REVIEWED_ABSTRACT_UPDATE_2026-09-01,TAP_TEST_DTA,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.641,0.492,0.766,9.0,700.0,PROBABILITY,0.641,0.492,0.766,
FE-0032,FT-012,CSF tap test,Post-shunt clinical response,Varied,Specificity,0.548,0.418,0.672,NR,9,700,NR,Bivariate random-effects DTA,I²=59.7%,Study-specific,Diagnostic accuracy,NR,SYSTEMATIC_REVIEW_COMPONENT,OFFICIAL_FRONTIERS_ACCEPTED_ABSTRACT,Official accepted abstract—Results,NO—ACCEPTED_VERSION_SUPERSEDES_PREPRINT_VALUES,ACCEPTED_PEER_REVIEWED_ABSTRACT_UPDATE_2026-09-01,TAP_TEST_DTA,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.548,0.418,0.672,9.0,700.0,PROBABILITY,0.548,0.418,0.672,
FE-0033,FT-012,Lumbar infusion test,Post-shunt clinical response,Varied,Sensitivity,0.775,0.702,0.834,NR,5,368,NR,Bivariate random-effects DTA,I²=14.7%,Study-specific,Diagnostic accuracy,NR,SYSTEMATIC_REVIEW_COMPONENT,OFFICIAL_FRONTIERS_ACCEPTED_ABSTRACT,Official accepted abstract—Results,NO—ACCEPTED_VERSION_SUPERSEDES_PREPRINT_VALUES,ACCEPTED_PEER_REVIEWED_ABSTRACT_UPDATE_2026-09-01,LIT_DTA,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.775,0.702,0.834,5.0,368.0,PROBABILITY,0.775,0.702,0.834,
FE-0034,FT-012,Lumbar infusion test,Post-shunt clinical response,Varied,Specificity,0.283,0.19,0.399,NR,5,368,NR,Bivariate random-effects DTA,I²=4.6%,Study-specific,Diagnostic accuracy,NR,SYSTEMATIC_REVIEW_COMPONENT,OFFICIAL_FRONTIERS_ACCEPTED_ABSTRACT,Official accepted abstract—Results,NO—ACCEPTED_VERSION_SUPERSEDES_PREPRINT_VALUES,ACCEPTED_PEER_REVIEWED_ABSTRACT_UPDATE_2026-09-01,LIT_DTA,POOLED_OR_REVIEW_LEVEL_ESTIMATE,ANCHOR_ESTIMATE_FOR_CELL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.283,0.19,0.399,5.0,368.0,PROBABILITY,0.283,0.19,0.399,
FE-0035,FT-022,Age,Global shunt response,1 month,OR,0.95,0.87,1.04,0.287,NR,192,NR,Univariable logistic regression,NR,per year,OR>1 favors response,UNADJUSTED,OWN_COHORT,MESCLADOS 3,M3 p.211; Table 2,NO,CONSENSUS_3_REVIEWERS,HYBRID_REVIEW_OWN_COHORT,OWN_COHORT_WITHIN_HYBRID_REPORT,EXCLUDE_FROM_UMBRELLA_POOL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.95,0.8700000000000001,1.04,,192.0,RATIO,0.95,0.8700000000000001,1.04,1.0
FE-0036,FT-022,Age,Global shunt response,1 year,OR,1.08,0.98,1.18,0.124,NR,192,NR,Univariable logistic regression,NR,per year,OR>1 favors response,UNADJUSTED,OWN_COHORT,MESCLADOS 3,M3 p.211; Table 2,NO,CONSENSUS_3_REVIEWERS,HYBRID_REVIEW_OWN_COHORT,OWN_COHORT_WITHIN_HYBRID_REPORT,EXCLUDE_FROM_UMBRELLA_POOL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,1.08,0.98,1.1800000000000002,,192.0,RATIO,1.08,0.98,1.1800000000000002,1.0
FE-0037,FT-022,Male sex,Global shunt response,1 month,OR,0.98,0.38,2.5,0.967,NR,192,NR,Univariable logistic regression,NR,male vs female,OR>1 favors response,UNADJUSTED,OWN_COHORT,MESCLADOS 3,M3 p.211; Table 2,NO,CONSENSUS_3_REVIEWERS,HYBRID_REVIEW_OWN_COHORT,OWN_COHORT_WITHIN_HYBRID_REPORT,EXCLUDE_FROM_UMBRELLA_POOL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.98,0.38,2.5,,192.0,RATIO,0.98,0.38,2.5,1.0
FE-0038,FT-022,Male sex,Global shunt response,1 year,OR,1.06,0.4,2.83,0.902,NR,192,NR,Univariable logistic regression,NR,male vs female,OR>1 favors response,UNADJUSTED,OWN_COHORT,MESCLADOS 3,M3 p.211; Table 2,NO,CONSENSUS_3_REVIEWERS,HYBRID_REVIEW_OWN_COHORT,OWN_COHORT_WITHIN_HYBRID_REPORT,EXCLUDE_FROM_UMBRELLA_POOL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,1.06,0.4,2.83,,192.0,RATIO,1.06,0.4,2.83,1.0
FE-0039,FT-022,Drainage test response,Global shunt response,1 month,OR,0.49,0.11,2.33,0.372,NR,192,NR,Univariable logistic regression,NR,positive vs negative,OR>1 favors response,UNADJUSTED,OWN_COHORT,MESCLADOS 3,M3 p.211; Table 2,NO,CONSENSUS_3_REVIEWERS,HYBRID_REVIEW_OWN_COHORT,OWN_COHORT_WITHIN_HYBRID_REPORT,EXCLUDE_FROM_UMBRELLA_POOL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,0.49,0.11,2.33,,192.0,RATIO,0.49,0.11,2.33,1.0
FE-0040,FT-022,Drainage test response,Global shunt response,1 year,OR,1.41,0.31,6.29,0.656,NR,192,NR,Univariable logistic regression,NR,positive vs negative,OR>1 favors response,UNADJUSTED,OWN_COHORT,MESCLADOS 3,M3 p.211; Table 2,NO,CONSENSUS_3_REVIEWERS,HYBRID_REVIEW_OWN_COHORT,OWN_COHORT_WITHIN_HYBRID_REPORT,EXCLUDE_FROM_UMBRELLA_POOL,NO,Select one anchor review per cell; do not treat overlapping review estimates as independent.,1.41,0.31,6.29,,192.0,RATIO,1.41,0.31,6.29,1.0
