label,master_id,source_status,pretest_probability,post_test_probability_negative
Rout >12,FT-010,peer_reviewed_full_report,0.5925,0.49694554630697035
Rout >12,FT-010,peer_reviewed_full_report,0.595,0.49953660797034294
Rout >12,FT-010,peer_reviewed_full_report,0.5975,0.5021328070287134
Rout >12,FT-010,peer_reviewed_full_report,0.6000000000000001,0.5047341587764023
Rout >12,FT-010,peer_reviewed_full_report,0.6025,0.5073406785684994
Rout >12,FT-010,peer_reviewed_full_report,0.605,0.5099523818211673
Rout >12,FT-010,peer_reviewed_full_report,0.6075,0.5125692840119438
Rout >12,FT-010,peer_reviewed_full_report,0.6100000000000001,0.5151914006800483
Rout >12,FT-010,peer_reviewed_full_report,0.6125,0.5178187474266893
Rout >12,FT-010,peer_reviewed_full_report,0.615,0.5204513399153738
Rout >12,FT-010,peer_reviewed_full_report,0.6174999999999999,0.5230891938722186
Rout >12,FT-010,peer_reviewed_full_report,0.62,0.5257323250862639
Rout >12,FT-010,peer_reviewed_full_report,0.6225,0.5283807494097871
Rout >12,FT-010,peer_reviewed_full_report,0.625,0.5310344827586206
Rout >12,FT-010,peer_reviewed_full_report,0.6275,0.5336935411124714
Rout >12,FT-010,peer_reviewed_full_report,0.63,0.5363579405152398
Rout >12,FT-010,peer_reviewed_full_report,0.6325000000000001,0.5390276970753438
Rout >12,FT-010,peer_reviewed_full_report,0.635,0.5417028269660432
Rout >12,FT-010,peer_reviewed_full_report,0.6375,0.5443833464257659
Rout >12,FT-010,peer_reviewed_full_report,0.64,0.547069271758437
Rout >12,FT-010,peer_reviewed_full_report,0.6425000000000001,0.5497606193338088
Rout >12,FT-010,peer_reviewed_full_report,0.645,0.5524574055877937
Rout >12,FT-010,peer_reviewed_full_report,0.6475,0.5551596470227986
Rout >12,FT-010,peer_reviewed_full_report,0.65,0.5578673602080625
Rout >12,FT-010,peer_reviewed_full_report,0.6525000000000001,0.5605805617799928
Rout >12,FT-010,peer_reviewed_full_report,0.655,0.5632992684425085
Rout >12,FT-010,peer_reviewed_full_report,0.6575,0.566023496967382
Rout >12,FT-010,peer_reviewed_full_report,0.66,0.5687532641945834
Rout >12,FT-010,peer_reviewed_full_report,0.6625000000000001,0.5714885870326286
Rout >12,FT-010,peer_reviewed_full_report,0.665,0.5742294824589276
Rout >12,FT-010,peer_reviewed_full_report,0.6675,0.5769759675201361
Rout >12,FT-010,peer_reviewed_full_report,0.67,0.5797280593325094
Rout >12,FT-010,peer_reviewed_full_report,0.6725000000000001,0.5824857750822563
Rout >12,FT-010,peer_reviewed_full_report,0.675,0.5852491320258986
Rout >12,FT-010,peer_reviewed_full_report,0.6775,0.5880181474906303
Rout >12,FT-010,peer_reviewed_full_report,0.6799999999999999,0.5907928388746804
Rout >12,FT-010,peer_reviewed_full_report,0.6825,0.5935732236476756
Rout >12,FT-010,peer_reviewed_full_report,0.685,0.5963593193510092
Rout >12,FT-010,peer_reviewed_full_report,0.6875,0.599151143598208
Rout >12,FT-010,peer_reviewed_full_report,0.69,0.6019487140753049
Rout >12,FT-010,peer_reviewed_full_report,0.6925,0.6047520485412118
Rout >12,FT-010,peer_reviewed_full_report,0.6950000000000001,0.6075611648280952
Rout >12,FT-010,peer_reviewed_full_report,0.6975,0.6103760808417544
Rout >12,FT-010,peer_reviewed_full_report,0.7,0.6131968145620024
Rout >12,FT-010,peer_reviewed_full_report,0.7025000000000001,0.616023384043048
Rout >12,FT-010,peer_reviewed_full_report,0.7050000000000001,0.6188558074138816
Rout >12,FT-010,peer_reviewed_full_report,0.7075,0.6216941028786624
Rout >12,FT-010,peer_reviewed_full_report,0.71,0.624538288717109
Rout >12,FT-010,peer_reviewed_full_report,0.7124999999999999,0.6273883832848907
Rout >12,FT-010,peer_reviewed_full_report,0.7150000000000001,0.6302444050140235
Rout >12,FT-010,peer_reviewed_full_report,0.7175,0.6331063724132663
