master_id,robis_overall_a,robis_overall_b,robis_low_both,robis_not_high_both,robis_high_either,robis_consensus_domain_1,robis_consensus_domain_2,robis_consensus_domain_3,robis_consensus_domain_4,robis_consensus_overall,applicability_a,applicability_b,confidence_a,confidence_b,final_applicability_raw,final_confidence_raw,reconstructed_applicability,reconstructed_confidence,consensus_applicability_candidate,consensus_confidence_candidate,amstar_consensus_applicability,amstar_consensus_confidence,robis_final_low,robis_final_unclear,robis_final_high,quality_mode
FT-013,HIGH,HIGH,FALSE,FALSE,TRUE,UNCLEAR,LOW,UNCLEAR,HIGH,HIGH,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-015,HIGH,HIGH,FALSE,FALSE,TRUE,UNCLEAR,LOW,UNCLEAR,HIGH,HIGH,PARTIAL_SEPARABLE,PARTIAL_SEPARABLE,CRITICALLY_LOW,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-016,HIGH,HIGH,FALSE,FALSE,TRUE,UNCLEAR,LOW,HIGH,HIGH,HIGH,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-018,HIGH,HIGH,FALSE,FALSE,TRUE,UNCLEAR,LOW,HIGH,HIGH,HIGH,PARTIAL_SEPARABLE,PARTIAL_SEPARABLE,CRITICALLY_LOW,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-019,HIGH,HIGH,FALSE,FALSE,TRUE,UNCLEAR,LOW,LOW,HIGH,HIGH,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-020,HIGH,HIGH,FALSE,FALSE,TRUE,UNCLEAR,UNCLEAR,HIGH,HIGH,HIGH,PARTIAL_SEPARABLE,PARTIAL_SEPARABLE,CRITICALLY_LOW,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-021,LOW,UNCLEAR,FALSE,TRUE,FALSE,UNCLEAR,LOW,LOW,LOW,UNCLEAR,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,FALSE,TRUE,FALSE,FINAL_CONSENSUS
FT-022,HIGH,HIGH,FALSE,FALSE,TRUE,UNCLEAR,UNCLEAR,HIGH,HIGH,HIGH,PARTIAL_SEPARABLE,OUTSIDE_INTENDED_SCOPE,CRITICALLY_LOW,NOT_APPLICABLE_OUTSIDE_SCOPE,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-023,HIGH,HIGH,FALSE,FALSE,TRUE,UNCLEAR,LOW,HIGH,HIGH,HIGH,OUTSIDE_INTENDED_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,OUTSIDE_INTENDED_SCOPE,NOT_APPLICABLE_OUTSIDE_SCOPE,FALSE,FALSE,TRUE,FINAL_CONSENSUS
FT-024,HIGH,LOW,FALSE,FALSE,TRUE,LOW,LOW,LOW,LOW,LOW,PARTIAL_SEPARABLE,PARTIAL_SEPARABLE,LOW,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,PARTIAL_SEPARABLE,CRITICALLY_LOW,TRUE,FALSE,FALSE,FINAL_CONSENSUS
